uuid	filename	cancer	TCGA_barcode	tumor_or_normal
2a6eec6e-cce4-418c-90c8-bb60ec5a33cc	jhu-usc.edu_THCA.HumanMethylation450.13.lvl-3.TCGA-EL-A3T0-11A-12D-A22G-05.gdc_hg38.txt	THCA	TCGA-EL-A3T0-11A-12D-A22G-05	Normal
39f03fb8-7a11-4413-be4a-c354df8944fa	jhu-usc.edu_LGG.HumanMethylation450.3.lvl-3.TCGA-FG-6689-01A-11D-1894-05.gdc_hg38.txt	LGG	TCGA-FG-6689-01A-11D-1894-05	Tumor
e4f2bc66-b73e-4939-92ec-9c51fc73023a	jhu-usc.edu_SARC.HumanMethylation450.12.lvl-3.TCGA-DX-A8BT-01A-11D-A37D-05.gdc_hg38.txt	SARC	TCGA-DX-A8BT-01A-11D-A37D-05	Tumor
2159095e-f32f-4704-ba37-f86eafa9c116	jhu-usc.edu_THCA.HumanMethylation450.9.lvl-3.TCGA-EL-A3H2-01A-11D-A211-05.gdc_hg38.txt	THCA	TCGA-EL-A3H2-01A-11D-A211-05	Tumor
eec597f5-7262-471c-b4e8-8605c7d9e379	jhu-usc.edu_LGG.HumanMethylation450.13.lvl-3.TCGA-P5-A730-01A-11D-A32C-05.gdc_hg38.txt	LGG	TCGA-P5-A730-01A-11D-A32C-05	Tumor
bc12f89a-fdd4-4e56-a6da-bd2f27ab541f	jhu-usc.edu_SARC.HumanMethylation450.7.lvl-3.TCGA-DX-A48V-01A-11D-A308-05.gdc_hg38.txt	SARC	TCGA-DX-A48V-01A-11D-A308-05	Tumor
4151f903-4fb1-4be6-b2bf-29a7b9003191	jhu-usc.edu_THCA.HumanMethylation450.7.lvl-3.TCGA-ET-A39J-01A-11D-A19K-05.gdc_hg38.txt	THCA	TCGA-ET-A39J-01A-11D-A19K-05	Tumor
8abd57eb-59e8-4264-8138-a46bc43312a1	jhu-usc.edu_READ.HumanMethylation450.2.lvl-3.TCGA-EF-5830-01A-01D-1658-05.gdc_hg38.txt	READ	TCGA-EF-5830-01A-01D-1658-05	Tumor
4ea1d7e8-0327-4b77-9882-0ab1ba56ce2e	jhu-usc.edu_ACC.HumanMethylation450.1.lvl-3.TCGA-OR-A5LT-01A-11D-A29J-05.gdc_hg38.txt	ACC	TCGA-OR-A5LT-01A-11D-A29J-05	Tumor
2eac1fe2-e459-45a9-810a-37ddb2496353	jhu-usc.edu_LGG.HumanMethylation450.12.lvl-3.TCGA-QH-A65R-01A-21D-A31M-05.gdc_hg38.txt	LGG	TCGA-QH-A65R-01A-21D-A31M-05	Tumor
893009b7-b929-4a30-9fce-14edfee09e7f	jhu-usc.edu_LGG.HumanMethylation450.14.lvl-3.TCGA-S9-A6U6-01A-12D-A33U-05.gdc_hg38.txt	LGG	TCGA-S9-A6U6-01A-12D-A33U-05	Tumor
44c3ee5b-6122-41ca-ba83-48532dcb4b9d	jhu-usc.edu_LGG.HumanMethylation450.14.lvl-3.TCGA-FG-A70Z-01A-12D-A33U-05.gdc_hg38.txt	LGG	TCGA-FG-A70Z-01A-12D-A33U-05	Tumor
39c882aa-3485-48f8-9073-ac95c1f70d94	jhu-usc.edu_THCA.HumanMethylation450.3.lvl-3.TCGA-DJ-A1QE-01A-21D-A14Z-05.gdc_hg38.txt	THCA	TCGA-DJ-A1QE-01A-21D-A14Z-05	Tumor
b0b262ce-96c4-4532-9ddf-faa6afd07eb6	jhu-usc.edu_THCA.HumanMethylation450.13.lvl-3.TCGA-DJ-A3UQ-01A-11D-A22G-05.gdc_hg38.txt	THCA	TCGA-DJ-A3UQ-01A-11D-A22G-05	Tumor
2da2dbcf-a269-488d-a4ad-15b2f4cca730	jhu-usc.edu_SARC.HumanMethylation450.5.lvl-3.TCGA-PC-A5DK-01A-11D-A27Y-05.gdc_hg38.txt	SARC	TCGA-PC-A5DK-01A-11D-A27Y-05	Tumor
6956583c-3844-4bbb-a2c9-3a574e7c962b	jhu-usc.edu_THCA.HumanMethylation450.8.lvl-3.TCGA-EM-A3AN-01A-11D-A203-05.gdc_hg38.txt	THCA	TCGA-EM-A3AN-01A-11D-A203-05	Tumor
41431616-5cb8-483e-82ff-4d7bb1e5e637	jhu-usc.edu_LGG.HumanMethylation450.14.lvl-3.TCGA-VW-A7QS-01A-12D-A33U-05.gdc_hg38.txt	LGG	TCGA-VW-A7QS-01A-12D-A33U-05	Tumor
